Zone,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp,Elevation,Urban Density,Rainfall
Dubai Marina,88,2,0.85,3,30,6,2,60
Downtown Dubai,86,2,0.8,3,29,5,2,58
Dubai Creek Harbour,82,2,0.75,4,31,3,2,50
Al Quoz Industrial,80,2,0.7,4,33,7,1,52
Jebel Ali,74,3,0.6,5,28,11,0,45
Dubai Silicon Oasis,63,4,0.55,6,34,9,1,40
Al Barsha,65,4,0.5,7,30,7.5,1,44
International City,50,3,0.6,6,29,6.5,1,40
Mirdif,50,4,0.3,8,28,8,1,20
Expo 2020 Site,47,4,0.3,9,34,12,0,18
Deira,48,4,0.3,8,32,4,2,22
Bur Dubai,50,3,0.25,8,31,3.5,2,24
