Zone,Latitude,Longitude,Elevation,Urban Density,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp,Flood?,Flood Risk
Al Barsha,25.1078,55.2077,7.5,1,40,40.00067725453586,6.508884729488528,0.056411579027100256,8.663985267201896,43.1565812704725,0,0
International City,25.1634,55.4179,6.5,1,45,39.76457024564293,2.9214464853521815,0.3663618432936917,5.472839810604431,38.55527884179041,0,0
Mirdif,25.2203,55.4162,8.0,1,48,96.42198760773333,9.656320330745594,0.8083973481164611,3.6553652300804482,17.930163420191516,1,1
Al Barsha,25.1078,55.2077,7.5,1,40,66.40476148244676,5.4671027934327965,0.18485445552552704,11.635015533174702,38.253984700833435,0,0
Dubai Marina,25.08,55.14,6.0,2,42,82.31240770961665,5.396921323890798,0.5867511656638482,11.583063687169656,33.21102743060054,1,1
Downtown Dubai,25.197197,55.274376,5.0,2,60,81.03050176286911,7.712703466859457,0.07404465173409036,4.301588742531271,18.47607178575389,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,69.28703980933908,3.829268747537898,0.9717120953891037,10.186965891193006,36.6518856349462,0,0
Mirdif,25.2203,55.4162,8.0,1,48,47.450456040421244,4.103829230356297,0.7555511385430487,2.7455779858994696,17.30939729486379,1,1
Jebel Ali,25.01016,55.062446,11.0,0,20,86.257045382938,1.8657005888603584,0.8925589984899778,6.472106902987809,39.22320465492187,0,0
Bur Dubai,25.253174,55.297916,3.5,2,50,51.33468807106203,1.6465585314294173,0.534089419375442,5.817959656307798,35.77308098670811,1,1
Dubai Marina,25.08,55.14,6.0,2,42,64.80739541246697,3.0087830981676964,0.2848404943774676,0.44264336825439354,33.286930019396905,1,1
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,64.26169321942942,9.856504541106007,0.2420552715115004,8.065626568870542,37.84858845986153,0,0
Mirdif,25.2203,55.4162,8.0,1,48,52.45460454802151,1.8651851039985423,0.040775141554763916,7.090715318258901,35.32693085526847,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,60,88.63970741351295,6.7569011703928075,0.7352161192407721,2.508859448852564,31.243439214826974,1,1
International City,25.1634,55.4179,6.5,1,45,69.08054175249683,8.826363431893396,0.18870710834137938,3.3464562311061825,36.010734899183134,1,1
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,72.4500341761713,0.09197051616629648,0.1014715428660321,7.96202122929667,15.15184751538656,0,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,36,52.77797887114874,7.464914051180242,0.6496328990472147,10.190680925930135,34.7283867690103,0,0
