zone,lat,lon,elevation,urban_density,rainfall
Deira,25.276987,55.296249,4.0,2,0
Bur Dubai,25.253174,55.297916,3.5,2,0
Dubai Marina,25.08,55.14,6.0,2,0
Jebel Ali,25.01016,55.062446,11.0,0,0
Expo 2020 Site,24.95351,55.038,12.0,0,0
Downtown Dubai,25.197197,55.274376,5.0,2,0
Dubai Creek Harbour,25.204849,55.342674,3.0,2,0
Al Quoz Industrial,25.1357,55.2311,7.0,1,0
Dubai Silicon Oasis,25.1212,55.3773,9.0,1,0
Mirdif,25.2203,55.4162,8.0,1,0
Al Barsha,25.1078,55.2077,7.5,1,0
International City,25.1634,55.4179,6.5,1,0
